DlangUI log file
2026-03-18 23:38:20.694 D  registerFont(SansSerif,Franklin Gothic Medium)
2026-03-18 23:38:20.694 D  registerFont(SansSerif,Franklin Gothic Medium)
2026-03-18 23:38:20.694 D  registerFont(SansSerif,Franklin Gothic Medium)
2026-03-18 23:38:20.694 D  registerFont(SansSerif,Franklin Gothic Medium)
2026-03-18 23:38:20.694 D  registerFont(Fantasy,Gabriola)
2026-03-18 23:38:20.694 D  registerFont(Fantasy,Gabriola)
2026-03-18 23:38:20.694 D  registerFont(Fantasy,Gabriola)
2026-03-18 23:38:20.694 D  registerFont(Fantasy,Gabriola)
2026-03-18 23:38:20.694 D  registerFont(Fantasy,Gabriola)
2026-03-18 23:38:20.694 D  registerFont(Fantasy,Gabriola)
2026-03-18 23:38:20.694 D  registerFont(SansSerif,Gadugi)
2026-03-18 23:38:20.694 D  registerFont(Serif,Georgia)
2026-03-18 23:38:20.694 D  registerFont(Serif,Georgia)
2026-03-18 23:38:20.694 D  registerFont(Serif,Georgia)
2026-03-18 23:38:20.694 D  registerFont(Serif,Georgia)
2026-03-18 23:38:20.694 D  registerFont(Serif,Georgia)
2026-03-18 23:38:20.694 D  registerFont(Serif,Georgia)
2026-03-18 23:38:20.694 D  registerFont(SansSerif,Impact)
2026-03-18 23:38:20.694 D  registerFont(SansSerif,Impact)
2026-03-18 23:38:20.694 D  registerFont(SansSerif,Impact)
2026-03-18 23:38:20.694 D  registerFont(SansSerif,Impact)
2026-03-18 23:38:20.694 D  registerFont(SansSerif,Impact)
2026-03-18 23:38:20.694 D  registerFont(SansSerif,Impact)
2026-03-18 23:38:20.694 D  registerFont(Cursive,Ink Free)
2026-03-18 23:38:20.694 D  registerFont(Cursive,Ink Free)
2026-03-18 23:38:20.694 D  registerFont(Cursive,Ink Free)
2026-03-18 23:38:20.694 D  registerFont(Cursive,Ink Free)
2026-03-18 23:38:20.694 D  registerFont(Cursive,Ink Free)
2026-03-18 23:38:20.694 D  registerFont(Cursive,Ink Free)
2026-03-18 23:38:20.694 D  registerFont(Cursive,Ink Free)
2026-03-18 23:38:20.694 D  registerFont(SansSerif,Javanese Text)
2026-03-18 23:38:20.694 D  registerFont(SansSerif,Leelawadee UI)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Leelawadee UI)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Leelawadee UI)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Leelawadee UI Semilight)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Leelawadee UI Semilight)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Leelawadee UI Semilight)
2026-03-18 23:38:20.695 D  registerFont(MonoSpace,Lucida Console)
2026-03-18 23:38:20.695 D  registerFont(MonoSpace,Lucida Console)
2026-03-18 23:38:20.695 D  registerFont(MonoSpace,Lucida Console)
2026-03-18 23:38:20.695 D  registerFont(MonoSpace,Lucida Console)
2026-03-18 23:38:20.695 D  registerFont(MonoSpace,Lucida Console)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Lucida Sans Unicode)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Lucida Sans Unicode)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Lucida Sans Unicode)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Lucida Sans Unicode)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Lucida Sans Unicode)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Lucida Sans Unicode)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Lucida Sans Unicode)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Malgun Gothic)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Malgun Gothic)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Malgun Gothic Semilight)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Malgun Gothic Semilight)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Malgun Gothic Semilight)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Malgun Gothic Semilight)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Malgun Gothic Semilight)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Malgun Gothic Semilight)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Malgun Gothic Semilight)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Malgun Gothic Semilight)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Malgun Gothic Semilight)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Malgun Gothic Semilight)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Malgun Gothic Semilight)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Malgun Gothic Semilight)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Microsoft Himalaya)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Microsoft JhengHei)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Microsoft JhengHei)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Microsoft JhengHei)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Microsoft JhengHei UI)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Microsoft JhengHei UI)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Microsoft JhengHei UI)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Microsoft JhengHei Light)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Microsoft JhengHei Light)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Microsoft JhengHei Light)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Microsoft JhengHei UI Light)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Microsoft JhengHei UI Light)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Microsoft JhengHei UI Light)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Microsoft New Tai Lue)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Microsoft PhagsPa)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Microsoft Sans Serif)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Microsoft Sans Serif)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Microsoft Sans Serif)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Microsoft Sans Serif)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Microsoft Sans Serif)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Microsoft Sans Serif)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Microsoft Sans Serif)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Microsoft Sans Serif)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Microsoft Sans Serif)
